CSsig	SBSsig	Spearman	pVal	pAdj
CX1	DBS1	-0.03075	0.1823	0.2506625
CX1	DBS2	0.006233	0.7869	0.7869
CX1	DBS3	0.03885	0.09193	0.168538333333333
CX1	DBS4	0.05096	0.02701	0.059422
CX1	DBS5	-0.05681	0.01369	0.0376475
CX1	DBS6	-0.2425	1.348e-26	1.4828e-25
CX1	DBS7	0.006871	0.7657	0.7869
CX1	DBS8	-0.0586	0.01097	0.0376475
CX1	DBS9	-0.03171	0.169	0.2506625
CX1	DBS10	0.02462	0.2856	0.349066666666667
CX1	DBS11	-0.1033	7.116e-06	3.9138e-05
CX2	DBS1	0.01041	0.6515	0.796277777777778
CX2	DBS2	0.02766	0.2303	0.633325
CX2	DBS3	-0.002687	0.9073	0.9073
CX2	DBS4	-0.005525	0.8106	0.89166
CX2	DBS5	0.03893	0.09123	0.33451
CX2	DBS6	0.1269	3.263e-08	3.5893e-07
CX2	DBS7	-0.01178	0.6094	0.796277777777778
CX2	DBS8	-0.01358	0.5559	0.796277777777778
CX2	DBS9	0.01541	0.504	0.796277777777778
CX2	DBS10	-0.01466	0.5248	0.796277777777778
CX2	DBS11	0.06055	0.00858	0.04719
CX3	DBS1	-9.17e-05	0.9968	0.9968
CX3	DBS2	0.07538	0.001062	0.005841
CX3	DBS3	-0.03582	0.1203	0.236342857142857
CX3	DBS4	-0.03315	0.1504	0.236342857142857
CX3	DBS5	0.03082	0.1812	0.24915
CX3	DBS6	0.2038	4.131e-19	4.5441e-18
CX3	DBS7	-0.007906	0.7317	0.80487
CX3	DBS8	0.0559	0.01527	0.05599
CX3	DBS9	0.03493	0.1298	0.236342857142857
CX3	DBS10	-0.03607	0.1177	0.236342857142857
CX3	DBS11	0.01517	0.5106	0.624066666666667
CX4	DBS1	0.04694	0.0417	0.1529
CX4	DBS2	-0.04331	0.06022	0.165605
CX4	DBS3	0.0002622	0.9909	0.9909
CX4	DBS4	-0.0004591	0.9841	0.9909
CX4	DBS5	-0.004612	0.8415	0.9909
CX4	DBS6	0.05306	0.0213	0.11715
CX4	DBS7	-0.01653	0.4735	0.868083333333333
CX4	DBS8	0.01351	0.558	0.876857142857143
CX4	DBS9	0.03426	0.1372	0.30184
CX4	DBS10	0.002652	0.9084	0.9909
CX4	DBS11	0.09764	2.191e-05	0.00024101
CX5	DBS1	0.05201	0.02401	0.0440183333333333
CX5	DBS2	-0.0829	0.000317	0.00116233333333333
CX5	DBS3	-0.02166	0.3474	0.4246
CX5	DBS4	-0.0612	0.007898	0.0173756
CX5	DBS5	0.03226	0.1618	0.254257142857143
CX5	DBS6	0.1855	4.843e-16	5.3273e-15
CX5	DBS7	0.002236	0.9227	0.9227
CX5	DBS8	0.06561	0.004397	0.01209175
CX5	DBS9	0.02741	0.2345	0.3224375
CX5	DBS10	0.01101	0.6329	0.69619
CX5	DBS11	0.1513	4.159e-11	2.28745e-10
CX6	DBS1	0.00603	0.7937	0.87307
CX6	DBS2	0.033	0.1522	0.33484
CX6	DBS3	0.03558	0.1227	0.33484
CX6	DBS4	0.04895	0.03366	0.18513
CX6	DBS5	-0.04239	0.06589	0.241596666666667
CX6	DBS6	-0.1119	1.138e-06	1.2518e-05
CX6	DBS7	0.02094	0.3638	0.571685714285714
CX6	DBS8	-0.01285	0.5773	0.764622222222222
CX6	DBS9	0.001178	0.9593	0.9593
CX6	DBS10	0.01125	0.6256	0.764622222222222
CX6	DBS11	-0.0299	0.1946	0.356766666666667
CX7	DBS1	0.04271	0.0639	0.175725
CX7	DBS2	-0.04275	0.06365	0.175725
CX7	DBS3	0.002463	0.915	0.915
CX7	DBS4	-0.01207	0.6007	0.915
CX7	DBS5	-0.00729	0.7519	0.915
CX7	DBS6	0.08385	0.0002702	0.0029722
CX7	DBS7	0.02181	0.3441	0.75702
CX7	DBS8	0.05226	0.02335	0.128425
CX7	DBS9	-0.00295	0.8982	0.915
CX7	DBS10	-0.003782	0.8697	0.915
CX7	DBS11	0.006403	0.7813	0.915
CX8	DBS1	0.0236	0.3061	0.385488888888889
CX8	DBS2	0.04218	0.06725	0.1849375
CX8	DBS3	-0.05485	0.01729	0.095095
CX8	DBS4	-0.02315	0.3154	0.385488888888889
CX8	DBS5	0.04526	0.04959	0.18183
CX8	DBS6	0.07295	0.001537	0.016907
CX8	DBS7	-0.03358	0.1453	0.266383333333333
CX8	DBS8	0.03656	0.1128	0.24816
CX8	DBS9	-0.0008798	0.9696	0.9696
CX8	DBS10	-0.02533	0.272	0.385488888888889
CX8	DBS11	0.01297	0.5738	0.63118
CX9	DBS1	0.01381	0.5492	0.64922
CX9	DBS2	-0.06146	0.007637	0.03553
CX9	DBS3	0.008392	0.7159	0.7159
CX9	DBS4	-0.03264	0.1569	0.34518
CX9	DBS5	0.01809	0.4327	0.64922
CX9	DBS6	0.05728	0.01292	0.03553
CX9	DBS7	0.02299	0.3187	0.584283333333333
CX9	DBS8	0.05951	0.009801	0.03553
CX9	DBS9	-0.01242	0.5902	0.64922
CX9	DBS10	-0.01246	0.5889	0.64922
CX9	DBS11	0.1442	3.301e-10	3.6311e-09
CX10	DBS1	0.03557	0.1229	0.297366666666667
CX10	DBS2	-0.03813	0.09813	0.297366666666667
CX10	DBS3	-0.004391	0.849	0.8997
CX10	DBS4	-0.03222	0.1622	0.297366666666667
CX10	DBS5	0.002906	0.8997	0.8997
CX10	DBS6	0.05831	0.01138	0.06259
CX10	DBS7	0.004138	0.8576	0.8997
CX10	DBS8	0.01853	0.4215	0.662357142857143
CX10	DBS9	-0.01204	0.6015	0.8270625
CX10	DBS10	-0.03442	0.1354	0.297366666666667
CX10	DBS11	0.06483	0.004887	0.053757
CX11	DBS1	0.01945	0.3988	0.487422222222222
CX11	DBS2	-0.03845	0.09534	0.195066666666667
CX11	DBS3	0.04572	0.04727	0.1299925
CX11	DBS4	-0.02799	0.2247	0.3130875
CX11	DBS5	-0.004724	0.8377	0.8931
CX11	DBS6	0.07768	0.0007422	0.0081642
CX11	DBS7	0.03722	0.1064	0.195066666666667
CX11	DBS8	0.04686	0.04204	0.1299925
CX11	DBS9	-0.02781	0.2277	0.3130875
CX11	DBS10	0.003099	0.8931	0.8931
CX11	DBS11	0.0598	0.009444	0.051942
CX12	DBS1	0.004498	0.8453	0.9654
CX12	DBS2	0.0009995	0.9654	0.9654
CX12	DBS3	-0.03719	0.1067	0.758633333333333
CX12	DBS4	0.003106	0.8929	0.9654
CX12	DBS5	0.009893	0.6679	0.9654
CX12	DBS6	-0.01082	0.6389	0.9654
CX12	DBS7	-0.006254	0.7862	0.9654
CX12	DBS8	0.02315	0.3153	0.867075
CX12	DBS9	-0.0306	0.1844	0.758633333333333
CX12	DBS10	0.0291	0.2069	0.758633333333333
CX12	DBS11	0.01791	0.4373	0.96206
CX13	DBS1	-0.0009839	0.966	0.966
CX13	DBS2	-0.02155	0.35	0.55
CX13	DBS3	-0.006958	0.7629	0.83919
CX13	DBS4	-0.02492	0.2798	0.55
CX13	DBS5	0.01279	0.5792	0.744944444444445
CX13	DBS6	0.05761	0.01241	0.068255
CX13	DBS7	0.01178	0.6095	0.744944444444445
CX13	DBS8	0.02159	0.349	0.55
CX13	DBS9	-0.04544	0.04867	0.178456666666667
CX13	DBS10	0.02588	0.2616	0.55
CX13	DBS11	0.1605	2.49e-12	2.739e-11
CX14	DBS1	0.02933	0.2033	0.319471428571429
CX14	DBS2	-0.09347	4.861e-05	0.00053471
CX14	DBS3	-0.0298	0.1962	0.319471428571429
CX14	DBS4	0.001431	0.9505	0.9505
CX14	DBS5	-0.04085	0.07634	0.319471428571429
CX14	DBS6	-0.03283	0.1544	0.319471428571429
CX14	DBS7	0.006604	0.7746	0.8778
CX14	DBS8	-0.005902	0.798	0.8778
CX14	DBS9	0.03526	0.1261	0.319471428571429
CX14	DBS10	-0.01291	0.5756	0.79145
CX14	DBS11	-0.03233	0.1608	0.319471428571429
CX15	DBS1	0.02082	0.3666	0.9204
CX15	DBS2	0.005614	0.8076	0.9204
CX15	DBS3	-0.01938	0.4005	0.9204
CX15	DBS4	-0.007847	0.7336	0.9204
CX15	DBS5	0.01063	0.6447	0.9204
CX15	DBS6	-0.002305	0.9204	0.9204
CX15	DBS7	-0.01028	0.6558	0.9204
CX15	DBS8	0.00385	0.8674	0.9204
CX15	DBS9	-0.03122	0.1757	0.9204
CX15	DBS10	-0.01546	0.5024	0.9204
CX15	DBS11	-0.07232	0.001689	0.018579
CX16	DBS1	0.01109	0.6305	0.770611111111111
CX16	DBS2	0.05706	0.01326	0.14586
CX16	DBS3	-0.03581	0.1203	0.26466
CX16	DBS4	0.007667	0.7395	0.81345
CX16	DBS5	0.01896	0.4109	0.6457
CX16	DBS6	0.03852	0.09472	0.2618
CX16	DBS7	-0.04377	0.05755	0.2618
CX16	DBS8	0.01411	0.5407	0.7434625
CX16	DBS9	0.00232	0.9199	0.9199
CX16	DBS10	-0.02972	0.1973	0.361716666666667
CX16	DBS11	-0.03846	0.0952	0.2618
CX17	DBS1	-0.0348	0.1312	0.3608
CX17	DBS2	0.02773	0.229	0.419833333333333
CX17	DBS3	-0.02291	0.3204	0.503485714285714
CX17	DBS4	0.03015	0.1909	0.419833333333333
CX17	DBS5	0.00745	0.7466	0.82126
CX17	DBS6	0.0692	0.00266	0.02926
CX17	DBS7	0.03646	0.1137	0.3608
CX17	DBS8	0.01412	0.5404	0.74305
CX17	DBS9	0.05105	0.02676	0.14718
CX17	DBS10	0.008229	0.7212	0.82126
CX17	DBS11	-0.002123	0.9266	0.9266
