CINSignature	SVSignature	Spearman	pVal	pAdj	Plot
CX1	Rearrangement Signature2	0.2626	1.915e-06	2.8725e-06	12.7603278272235
CX2	Rearrangement Signature4	0.3138	9.673e-09	5.8038e-08	16.6621678685179
CX2	Rearrangement Signature6	0.249	6.55e-06	1.965e-05	10.837433219649
CX3	Rearrangement Signature1	0.32	4.697e-09	9.394e-09	18.4831946493416
CX3	Rearrangement Signature3	0.3838	1.134e-12	3.402e-12	26.4066576219549
CX3	Rearrangement Signature5	0.5046	4.499e-22	2.6994e-21	47.3612574267819
CX5	Rearrangement Signature1	0.2125	0.0001277	0.00015324	8.78350523813183
CX5	Rearrangement Signature3	0.2483	6.929e-06	1.3858e-05	11.1866478747591
CX5	Rearrangement Signature4	0.2853	2.081e-07	6.243e-07	14.2866348148787
CX5	Rearrangement Signature5	0.2031	0.0002551	0.0002551	8.27385493281651
CX5	Rearrangement Signature6	0.3321	1.125e-09	6.75e-09	18.813723332062
CX7	Rearrangement Signature3	0.2372	1.798e-05	5.394e-05	9.82763824025269
CX7	Rearrangement Signature5	0.3123	1.143e-08	6.858e-08	16.4952648899116
CX8	Rearrangement Signature1	0.2128	0.0001248	0.0007392	7.2099420376368
CX8	Rearrangement Signature6	0.2036	0.0002464	0.0007392	7.2099420376368
CX9	Rearrangement Signature4	0.2612	2.182e-06	8.022e-06	11.7333227906164
CX9	Rearrangement Signature6	0.2589	2.674e-06	8.022e-06	11.7333227906164
CX13	Rearrangement Signature4	0.4864	2.064e-20	1.2384e-19	43.5352965430335
CX13	Rearrangement Signature6	0.4316	5.949e-16	1.7847e-15	33.9595260610309
CX14	Rearrangement Signature5	0.204	0.0002395	0.001437	6.54519767188525
CX17	Rearrangement Signature1	0.2179	8.467e-05	0.0002406	8.33237475442369
CX17	Rearrangement Signature3	0.2133	0.0001203	0.0002406	8.33237475442369
CX17	Rearrangement Signature5	0.2674	1.217e-06	7.302e-06	11.8273622747308
