CSsig	SBSsig	Spearman	pVal	pAdj
CX1	SBS1	0.07457	0.00115	0.00480316666666667
CX1	SBS2	-0.3107	9.469e-44	1.45191333333333e-42
CX1	SBS3	-0.3262	2.686e-48	6.1778e-47
CX1	SBS4	-0.009928	0.6656	0.76544
CX1	SBS5	0.2572	4.687e-30	5.39005e-29
CX1	SBS6	0.03314	0.149	0.244785714285714
CX1	SBS7a	-0.01199	0.6016	0.709579487179487
CX1	SBS7b	-0.01401	0.5418	0.655863157894737
CX1	SBS7c	0.0009496	0.967	0.988488888888889
CX1	SBS7d	-0.01455	0.5264	0.655863157894737
CX1	SBS8	-0.03959	0.08464	0.168609166666667
CX1	SBS9	0.0458	0.04602	0.105846
CX1	SBS10a	0.04989	0.02976	0.0850729411764706
CX1	SBS10b	0.04989	0.02976	0.0850729411764706
CX1	SBS11	0.03147	0.1705	0.26634
CX1	SBS12	0.196	6.887e-18	6.33604e-17
CX1	SBS13	-0.3599	3.889e-59	1.78894e-57
CX1	SBS14	0.005048	0.826	0.883627906976744
CX1	SBS15	0.03855	0.09311	0.1713224
CX1	SBS16	0.07401	0.001253	0.00480316666666667
CX1	SBS17a	-0.1226	8.383e-08	4.820225e-07
CX1	SBS17b	-0.1247	5.02e-08	3.29885714285714e-07
CX1	SBS18	-0.06068	0.008188	0.0289729230769231
CX1	SBS19	0.04449	0.05261	0.115240952380952
CX1	SBS20	-0.03124	0.1737	0.26634
CX1	SBS21	6.286e-05	0.9978	0.9978
CX1	SBS22	0.04349	0.0582	0.121690909090909
CX1	SBS23	NA	NA	NA
CX1	SBS24	0.01656	0.4708	0.622182857142857
CX1	SBS25	NA	NA	NA
CX1	SBS26	0.03917	0.08797	0.168609166666667
CX1	SBS27	NA	NA	NA
CX1	SBS28	-0.002002	0.9305	0.972795454545454
CX1	SBS29	0.1366	2.277e-09	1.7457e-08
CX1	SBS30	0.04874	0.03372	0.0851242105263158
CX1	SBS31	NA	NA	NA
CX1	SBS32	0.007731	0.7364	0.826204878048781
CX1	SBS33	0.02349	0.3064	0.42710303030303
CX1	SBS34	0.04836	0.03516	0.0851242105263158
CX1	SBS35	0.04939	0.03144	0.0850729411764706
CX1	SBS36	0.08251	0.0003201	0.00147246
