"V1"	"W1"	"W2"	"W3"	"W4"	"W5"	"W6"	"W7"	"W8"	"W9"	"W10"
"segsize1"	"14802.507"	"2.56443e-40"	"1.2563e-41"	"6.181e-42"	"238.17973"	"6.61e-43"	"7.34e-43"	"897.86914"	"1.44e-42"	"3.52e-43"
"segsize2"	"12722.035"	"7.123e-42"	"588.1027"	"814.8515"	"1566.8591"	"6.61e-43"	"1.101e-42"	"265.54352"	"1.08e-42"	"3.52e-43"
"segsize3"	"15852.999"	"1.2466e-41"	"1439.7937"	"4368.831"	"7600.6597"	"6.61e-43"	"1.469e-42"	"4.236e-42"	"1.44e-42"	"3.52e-43"
"segsize4"	"15469.937"	"1.0361185e-27"	"2126.6277"	"15799.996"	"27976.36"	"9.94e-43"	"2.57e-42"	"6.355e-42"	"2.521e-42"	"3.52e-43"
"segsize5"	"2138.6086"	"8.904e-42"	"1.382e-41"	"10914.945"	"25526.104"	"6.61e-43"	"2.8461987e-08"	"11971.982"	"2701.712"	"3.52e-43"
"segsize6"	"8.926e-42"	"1.9589e-41"	"1.005e-41"	"8174.7344"	"20380.441"	"9.94e-43"	"2.937e-42"	"21975.463"	"3.601e-42"	"3.52e-43"
"segsize7"	"2.82e-42"	"2738.742"	"4.02e-41"	"4654.1"	"14209.584"	"1.324e-42"	"2.57e-42"	"31521.115"	"2.881e-42"	"3.52e-43"
"segsize8"	"3.289e-42"	"1575.315"	"2956.2273"	"1751.0752"	"5416.126"	"2.318e-42"	"4.039e-42"	"23513.158"	"2.881e-42"	"3.52e-43"
"segsize9"	"3.289e-42"	"602.4638"	"3327.7498"	"322.5471"	"2116.2183"	"1.324e-42"	"4.406e-42"	"15204.649"	"1.8e-42"	"3.52e-43"
"segsize10"	"3.289e-42"	"191.1733"	"8634.777"	"853.20074"	"1548.8455"	"1.655e-42"	"3.671e-42"	"22692.182"	"1.8e-42"	"3.52e-43"
"segsize11"	"3.758e-42"	"1.0685e-41"	"13159.27"	"1179.8518"	"310.15436"	"9.94e-43"	"2.937e-42"	"23221.21"	"1.8e-42"	"1.77e-43"
"segsize12"	"2.82e-42"	"7.123e-42"	"17500.354"	"1338.3302"	"9.323e-42"	"6.61e-43"	"2.203e-42"	"18423.291"	"1.8e-42"	"1.77e-43"
"segsize13"	"3.289e-42"	"1.0685e-41"	"15782.57"	"1795.2709"	"8.547e-42"	"9.94e-43"	"2.203e-42"	"9683.765"	"2.881e-42"	"3.52e-43"
"segsize14"	"4.228e-42"	"8.904e-42"	"12031.975"	"1829.6694"	"6.215e-42"	"9.94e-43"	"2.57e-42"	"4263.0923"	"4.322e-42"	"3.52e-43"
"segsize15"	"2.82e-42"	"7.123e-42"	"20407.33"	"5122.2705"	"6.215e-42"	"1.324e-42"	"2192.5725"	"9.961923e-05"	"1278.828"	"3.52e-43"
"segsize16"	"4.699e-42"	"1087.3049"	"9724.345"	"1873.4464"	"5.438e-42"	"4366.0205"	"4.039e-42"	"587.6651"	"4.682e-42"	"5.28e-43"
"segsize17"	"4.699e-42"	"7.123e-42"	"15132.534"	"1120.2214"	"4.662e-42"	"6483.353"	"2.203e-42"	"2.5418e-41"	"1359.4993"	"7.05e-43"
"segsize18"	"5.637e-42"	"8.904e-42"	"8116.076"	"345.227"	"2.33e-42"	"5194.6777"	"2.57e-42"	"9.532e-42"	"844.0115"	"7.05e-43"
"segsize19"	"4.699e-42"	"1.2466e-41"	"6370.962"	"238.21545"	"2.33e-42"	"6272.4526"	"1.836e-42"	"7.413e-42"	"558.5025"	"7.05e-43"
"segsize20"	"5.168e-42"	"980.76056"	"2167.7307"	"153.24794"	"2.33e-42"	"6134.9443"	"1.469e-42"	"4.236e-42"	"3.241e-42"	"5.28e-43"
"segsize21"	"1.879e-42"	"3408.761"	"3801.1416"	"5.494e-42"	"2.33e-42"	"9866.642"	"1.101e-42"	"2.119e-42"	"319.07196"	"8.81e-43"
"segsize22"	"9.4e-43"	"5080.5625"	"9.653203e-39"	"1.373e-42"	"1.554e-42"	"17495.648"	"1.101e-42"	"2.119e-42"	"7.2e-43"	"1.77e-43"
"changepoint1"	"1430.3146"	"11130.951"	"5765.738"	"1833.2266"	"1.3985e-41"	"4.634e-42"	"25114.457"	"2.8595e-41"	"2.161e-42"	"3.52e-43"
"changepoint2"	"7.517e-42"	"2912.5645"	"10861.224"	"5.494e-42"	"0.060959637"	"1.655e-42"	"41346.008"	"19397.03"	"1.8e-42"	"3.52e-43"
"changepoint3"	"4.228e-42"	"4174.187"	"75708.234"	"2.747e-42"	"87137.1"	"1.324e-42"	"2.57e-42"	"1.8004e-41"	"1.44e-42"	"3.52e-43"
"changepoint4"	"7.986e-42"	"3579.0305"	"49158.406"	"31080.459"	"47873.625"	"7.615e-42"	"1.836e-42"	"2.3177324e-06"	"2.161e-42"	"3.52e-43"
"changepoint5"	"1.0805e-41"	"566.0908"	"16201.431"	"99061.64"	"1.9397675e-14"	"3.973e-42"	"1.469e-42"	"1.0585102e-34"	"2.521e-42"	"3.52e-43"
"changepoint6"	"4.228e-42"	"1.781e-42"	"3.77e-42"	"12605.732"	"3.108e-42"	"6.61e-43"	"7.34e-43"	"2865.7473"	"14653.704"	"1.77e-43"
"changepoint7"	"1.879e-42"	"1.781e-42"	"3.77e-42"	"3954.4453"	"3.108e-42"	"6.61e-43"	"7.34e-43"	"104.44847"	"15707.82"	"1.77e-43"
"changepoint8"	"24.560827"	"6.1336155"	"32.76755"	"3635.868"	"1.2431e-41"	"2.648e-42"	"1.101e-42"	"543.5387"	"14212.655"	"1.586e-42"
"changepoint9"	"7.2359676"	"2.6296926"	"2.6382e-41"	"1153.306"	"99.35255"	"2.318e-42"	"1.101e-42"	"310.8813"	"10714.155"	"1309.501"
"changepoint10"	"6.1739717"	"1.0926918"	"2.01e-41"	"318.31967"	"31.969152"	"2.318e-42"	"1.469e-42"	"112.047615"	"3702.4062"	"14315.25"
"bp10MB1"	"1.5503e-41"	"995501.2"	"217815.81"	"3.7119858e-32"	"0.02550632"	"1.655e-42"	"4.039e-42"	"22017.238"	"3.961e-42"	"5.28e-43"
"bp10MB2"	"1.0805e-41"	"377718.12"	"201621.72"	"1.8906104e-18"	"10178.824"	"1.324e-42"	"4.039e-42"	"84395.125"	"2.881e-42"	"3.52e-43"
"bp10MB3"	"8152.4014"	"5404.348"	"11769.295"	"11881.293"	"26623.66"	"9.94e-43"	"5.14e-42"	"22861.295"	"4.682e-42"	"3.52e-43"
"bpchrarm1"	"1.879e-42"	"131968.53"	"0.0006463739"	"4.121e-42"	"4.662e-42"	"2.979e-42"	"2.57e-42"	"6.355e-42"	"1.08e-42"	"1.77e-43"
