	W1	W2	W3	W4	W5
segsize1	2.7803364e-16	0.0056092357	5.7286175e-13	0.14972846	4.640463e-06
segsize2	7.92e-43	0.0015142673	0.0005137971	0.062741905	0.005097067
segsize3	0.0	0.0018895904	0.00037519407	0.051661357	0.021869661
segsize4	0.0	0.0024195532	0.0035754114	0.058501862	0.053452093
segsize5	0.0	0.0011806573	0.007656898	0.029433805	0.047652803
segsize6	0.0	0.0016712719	0.013123927	0.0066342005	0.04523036
segsize7	7.765574e-37	0.0010600833	0.018390262	6.7523483e-38	0.039072633
segsize8	0.0	0.00033326625	0.014681816	0.0	0.019850532
segsize9	0.0	1.4965811e-05	0.009151171	0.0	0.0105465595
segsize10	0.0018278292	7.642484e-05	0.016143631	0.0	0.010862209
segsize11	0.009169742	0.0002947355	0.02092697	0.0	0.004840974
segsize12	0.010463193	0.00066819927	0.023377033	0.0	0.0038094993
segsize13	0.010114286	0.00040996273	0.017989615	0.0	0.00087045715
segsize14	0.026709639	0.00029754345	0.01165285	0.0	0.00061414717
segsize15	0.07169881	0.0014868531	0.016204188	0.0	0.0004145217
segsize16	0.0355979	0.0019000535	0.0074026333	0.0	0.0
segsize17	0.04346662	0.0015726205	0.011832729	0.00045597999	0.0
segsize18	0.04566407	0.0016743793	0.0052523767	0.0	0.0
segsize19	0.030367946	0.0011759903	0.0042931316	0.0	1.2449642e-05
segsize20	0.04411509	0.00084195303	0.0002746885	0.0	0.0
segsize21	0.09753606	0.0028949254	0.0019059017	0.0	0.0
segsize22	0.10095459	0.0031925729	0.0	0.0	0.0
changepoint1	0.0	0.0	0.0	0.0	0.0
changepoint2	0.0	6.2913323e-06	1.9010506e-05	3.2407104e-05	0.0
changepoint3	0.0	0.024321487	0.073503464	0.1253117	0.0
changepoint4	0.04073564	0.011642039	0.04567514	0.07376649	0.010465789
changepoint5	0.20115636	0.0013333744	0.042652436	0.06757092	0.034675583
changepoint6	0.081842266	0.0	0.014517142	0.02164723	0.027258633
changepoint7	0.06420208	0.0	0.007899945	0.006711898	0.037835278
changepoint8	0.047443368	0.0	0.0058099916	0.0057085687	0.04413541
changepoint9	0.029465998	0.00017011332	0.0027162186	0.0022664848	0.053020246
changepoint10	0.007245606	0.0015515062	0.0	0.0	0.10763161
bp10MB1	1.5274235e-26	0.56451523	0.18729897	1.5262835e-09	0.004979355
bp10MB2	1.4324516e-37	0.24274212	0.22229224	2.5562345e-14	0.05014226
bp10MB3	0.0	0.0070027136	0.021032518	0.09176668	0.05529653
bpchrarm1	6e-45	0.060332596	3.59e-43	0.0	9.7505865e-36
bpchrarm2	0.00022293603	0.050538134	0.03585717	0.0	0.0
bpchrarm3	0.0	0.0036652451	0.027916053	0.03735149	0.0025570514
bpchrarm4	0.0	0.0	8.006523e-05	0.0040731216	0.00952765
bpchrarm5	0.0	0.0	0.0	8.902757e-10	0.0017953023
osCN1	4.3381903e-21	1.2673368e-13	0.08509789	0.11177485	0.23689355
osCN2	0.0	5.2744653e-15	0.022590075	0.08871027	0.059499685
osCN3	0.0	0.0	0.00031750774	0.004150422	8.5410546e-05
