	W1	W2	W3	W4	W5	W6
segsize1	0.004122677	0.0	0.003022264	0.0	0.0005470047	0.09678416
segsize2	0.0031445976	0.0014185673	0.0009930364	0.0	0.0003386956	0.053192925
segsize3	0.004794476	0.0029530616	0.0005293572	0.008195451	0.0012262996	0.054289248
segsize4	0.011585962	0.0085318405	0.00046469783	0.050047748	0.0021713136	0.062623575
segsize5	0.012891025	0.010117314	0.0002783547	0.054061655	0.0022028778	0.03638145
segsize6	0.01666905	0.013117027	0.00019094603	0.046573464	0.0032530236	0.023446193
segsize7	0.01883471	0.018262627	1.407786e-39	0.040374488	0.0045017176	0.015578247
segsize8	0.014288287	0.01566396	0.0	0.021294909	0.0010340738	0.006061313
segsize9	0.012270696	0.011103126	0.0	0.010255434	9.992491e-05	0.0
segsize10	0.018101702	0.018609898	0.0	0.01163397	0.0	2.166263e-05
segsize11	0.023606034	0.02143456	0.0	7.1758615e-29	0.0	0.0018319082
segsize12	0.023606775	0.023390323	0.0	0.0	0.0	0.0
segsize13	0.01625353	0.018496271	0.0005625135	0.0	0.0	0.0
segsize14	0.011384461	0.011205395	0.0010848289	0.0	0.0	0.0
segsize15	0.017471846	0.015765406	0.0050214888	0.0	0.0	0.0
segsize16	0.0071709077	0.0060699554	0.006912065	0.0	0.0	0.0
segsize17	0.0103923725	0.009256262	0.008996858	0.0	0.0	0.0
segsize18	0.0068616243	0.0018928656	0.008172972	0.0011625858	0.0	0.0
segsize19	0.005224972	0.0018233219	0.00669817	0.0	0.0	0.0
segsize20	0.0017897475	0.0	0.0060702874	0.0036717586	0.0	6.4610648e-12
segsize21	0.0023144912	0.0	0.013002036	0.006611604	0.00042550548	0.0
segsize22	0.0	0.0	0.016529448	0.0017755303	0.0022060918	0.0
changepoint1	0.0	0.018017828	0.011625615	0.0	0.008416849	0.014976568
changepoint2	0.0	0.045492306	0.011743168	0.0	0.0	0.04073935
changepoint3	2.1942072e-16	0.10877771	0.012201014	0.0	0.012054111	0.0950564
changepoint4	0.04938415	0.046308544	0.015810706	0.0	5.2261866e-09	0.08139649
changepoint5	0.113491066	0.0	0.014865889	0.0	0.0	0.03696633
changepoint6	0.047977507	0.0	0.0	7.697437e-09	0.0	0.0036011352
changepoint7	0.029891312	0.0	0.00015254653	0.031700913	0.0	0.0
changepoint8	0.020513395	0.0	0.00022255645	0.06902328	0.0	0.0005490212
changepoint9	0.009806779	0.0	6.249027e-05	0.1066624	0.0	0.00062281423
changepoint10	0.0	2.3339997e-05	9.117826e-05	0.288243	0.0	0.00094045774
bp10MB1	0.12764433	0.16027926	0.53046757	0.0	0.6090545	0.030760424
bp10MB2	0.1588213	0.21408874	0.21397004	0.0	0.22779363	8.743049e-22
bp10MB3	0.028749205	0.025287217	0.004006388	0.018263767	0.0064229188	0.07202591
bpchrarm1	0.0	0.0	0.060913913	0.0	0.088417925	0.0
bpchrarm2	0.017696436	0.036682177	0.044410393	0.0	0.028300779	0.0
bpchrarm3	0.020198738	0.024685377	0.0009215571	0.0	0.0015326119	0.023099495
bpchrarm4	0.0	0.00018903078	0.0	0.012117896	0.0	0.013565511
bpchrarm5	0.0	0.0	0.0	0.0022901548	0.0	0.00034318853
osCN1	0.10432978	0.0869507	0.0	0.20705149	0.0	0.16426708
osCN2	0.028716026	0.023395274	0.0	0.008988475	0.0	0.06809197
osCN3	0.0	0.000710627	5.7064517e-06	0.0	0.0	0.0027872853
