	W1	W2	W3	W4	W5
segsize1	0.0	0.074617326	0.0012350748	3.5833427e-16	0.0012292162
segsize2	0.00016536782	0.047105145	0.0005157514	0.00052185316	0.00047317974
segsize3	3.859955e-15	0.055808973	7.716869e-22	0.00949971	0.00048057846
segsize4	0.0	0.07698228	0.0013186659	0.03249907	0.0010024137
segsize5	0.007059232	0.039357286	0.00041277928	0.041288227	0.0006694408
segsize6	0.009877848	0.02860928	0.0023427117	0.04147726	0.0008200996
segsize7	0.015494781	0.018794477	0.0019668802	0.045960322	0.0011902304
segsize8	0.014370026	0.006277762	0.0021706314	0.029447852	0.0002879746
segsize9	0.010069677	0.00028484318	0.003252425	0.0211286	0.0
segsize10	0.017813316	0.0042333286	0.0041464376	0.02829446	0.0
segsize11	0.02167093	0.008596634	0.0071851653	0.021980364	0.0
segsize12	0.025620947	1.610438e-39	0.0093153445	0.016897094	0.0
segsize13	0.020731894	4.0296575e-07	0.008866729	0.004717631	0.0
segsize14	0.01391546	0.0	0.007706582	0.003986722	0.0
segsize15	0.018294	2.7644896e-12	0.016009059	0.001961809	0.0016099293
segsize16	0.0067810486	0.0	0.012966773	0.0	0.0034696881
segsize17	0.010920067	0.0	0.016941449	0.0	0.0040245466
segsize18	0.0024717655	0.0	0.013465333	0.0	0.0040391237
segsize19	0.0017046116	0.0	0.012015119	0.0	0.003151149
segsize20	0.0	0.0	0.007103529	3.6799055e-19	0.003459699
segsize21	0.0	0.0	0.014009383	0.0	0.007743847
segsize22	0.0	0.0	0.0081605315	0.0	0.013153522
changepoint1	0.01385346	0.017219765	6.6900075e-23	0.0	0.0115753235
changepoint2	0.034883056	0.03344692	0.0	0.0	0.008424908
changepoint3	0.09745477	0.070723295	0.0	0.0	0.015341607
changepoint4	0.044779774	0.08130078	0.044825822	8.724175e-15	0.0075558163
changepoint5	6.72348e-32	0.071897425	0.10708089	6.1800114e-11	0.0
changepoint6	0.0	0.009579661	0.024100987	0.036793932	0.0
changepoint7	0.0	0.0	0.015286542	0.045703597	0.0
changepoint8	0.0	0.0012184863	0.008793578	0.052926227	0.0
changepoint9	1.4758662e-24	0.00070827967	0.003154238	0.055349942	1.0444721e-28
changepoint10	0.0	0.0	0.0	0.10959646	8.026843e-05
bp10MB1	0.19487484	0.00046672908	0.35199296	3.5252763e-22	0.5732189
bp10MB2	0.23005098	1.2254253e-05	0.20504667	0.039788753	0.21971759
bp10MB3	0.021131549	0.07297904	0.007739435	0.04211797	0.004532643
bpchrarm1	0.0	0.0	0.026186086	0.0	0.07756614
bpchrarm2	0.039414905	0.0	0.044479858	0.0	0.03460549
bpchrarm3	0.02198611	0.0323478	0.0074443896	0.014038502	0.00057677313
bpchrarm4	4.404144e-06	0.0076353224	0.0	0.0062325643	0.0
bpchrarm5	0.0	0.0	0.0	0.0010622934	0.0
osCN1	0.081890196	0.17442757	8.599936e-06	0.25526872	0.0
osCN2	0.022281472	0.06318647	0.002750111	0.04146007	0.0
osCN3	0.00043349052	0.0021824234	3.5729156e-06	0.0	0.0
