MoleculeType	code	gene	DNARepairMechanism
Proteins	UniProt:P39748	FEN1	alt-NHEJ
Proteins	UniProt:Q9UGN5	PARP2	alt-NHEJ
Proteins	UniProt:P09874	PARP1	alt-NHEJ
Proteins	UniProt:Q99708	RBBP8	alt-NHEJ
Proteins	UniProt:P49959	MRE11	alt-NHEJ
Proteins	UniProt:Q92878	RAD50	alt-NHEJ
Proteins	UniProt:O60934	NBN	alt-NHEJ
Proteins	UniProt:O75417	POLQ	alt-NHEJ
Proteins	UniProt:P49916	LIG3	alt-NHEJ
Proteins	UniProt:P18887	XRCC1	alt-NHEJ
Proteins	UniProt:Q8TAT5	NEIL3	BER
Proteins	UniProt:O15527	OGG1	BER
Proteins	UniProt:Q9BSI4	TINF2	BER
Proteins	UniProt:Q9NUX5	POT1	BER
Proteins	UniProt:P54274	TERF1	BER
Proteins	UniProt:Q9NYB0	TERF2IP	BER
Proteins	UniProt:Q96AP0	ACD	BER
Proteins	UniProt:Q15554	TERF2	BER
Proteins	UniProt:Q99879	H2BC14	BER
Proteins	UniProt:Q96A08	H2BC1	BER
Proteins	UniProt:P58876	H2BC5	BER
Proteins	UniProt:Q93079	H2BC9	BER
Proteins	UniProt:Q16778	H2BC21	BER
Proteins	UniProt:P23527	H2BC17	BER
Proteins	UniProt:P57053	H2BS1	BER
Proteins	UniProt:Q99877	H2BC15	BER
Proteins	UniProt:P62807	H2BC4	BER
Proteins	UniProt:P06899	H2BC11	BER
Proteins	UniProt:P33778	H2BC3	BER
Proteins	UniProt:O60814	H2BC12	BER
Proteins	UniProt:Q99880	H2BC13	BER
Proteins	UniProt:Q8N257	H2BU1	BER
Proteins	UniProt:Q16695	H3-4	BER
Proteins	UniProt:P0C5Y9	H2AB1	BER
Proteins	UniProt:Q71UI9	H2AZ2	BER
Proteins	UniProt:P0C0S5	H2AZ1	BER
Proteins	UniProt:P20671	H2AC7	BER
Proteins	UniProt:P16104	H2AX	BER
Proteins	UniProt:Q9BTM1	H2AJ	BER
Proteins	UniProt:Q16777	H2AC20	BER
Proteins	UniProt:Q93077	H2AC6	BER
Proteins	UniProt:P04908	H2AC4	BER
Proteins	UniProt:Q6FI13	H2AC18	BER
Proteins	UniProt:Q99878	H2AC14	BER
Proteins	UniProt:P62805	H4C1	BER
Proteins	UniProt:Q9UIF7-3	MUTYH	BER
Proteins	UniProt:Q9UIF7-6	MUTYH	BER
Proteins	UniProt:P29372	MPG	BER
Proteins	UniProt:O15527-4	OGG1	BER
Proteins	UniProt:P13051-1	UNG	BER
Proteins	UniProt:Q969S2	NEIL2	BER
Proteins	UniProt:Q13569	TDG	BER
Proteins	UniProt:Q53HV7	SMUG1	BER
Proteins	UniProt:Q96FI4	NEIL1	BER
Proteins	UniProt:P78549	NTHL1	BER
Proteins	UniProt:O95243	MBD4	BER
Proteins	UniProt:P49916	LIG3	BER
