Cancer Types, Sample Names, Accuracy, DBS1, DBS2, DBS3, DBS4, DBS5, DBS6, DBS7, DBS8, DBS9, DBS10, DBS11
Biliary-AdenoCA,SP117655, 0.848, 0.000000, 91.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
Biliary-AdenoCA,SP117556, 0.903, 0.000000, 37.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
Biliary-AdenoCA,SP117627, 0.729, 0.000000, 1.000000, 0.000000, 7.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 14.000000
Biliary-AdenoCA,SP117775, 0.649, 0.000000, 52.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
Biliary-AdenoCA,SP117332, 0.893, 0.000000, 14.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
Biliary-AdenoCA,SP117712, 0.849, 0.000000, 76.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
Biliary-AdenoCA,SP117017, 0.814, 0.000000, 4.000000, 0.000000, 5.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 9.000000
Biliary-AdenoCA,SP117031, 0.732, 0.000000, 10.000000, 0.000000, 0.000000, 0.000000, 12.000000, 0.000000, 0.000000, 22.000000, 0.000000, 0.000000
Biliary-AdenoCA,SP117759, 0.872, 0.000000, 18.000000, 0.000000, 12.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 25.000000
Biliary-AdenoCA,SP117621, 0.947, 0.000000, 73.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
Biliary-AdenoCA,SP117425, 0.816, 0.000000, 12.000000, 0.000000, 17.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 21.000000
Biliary-AdenoCA,SP117930, 0.908, 0.000000, 79.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
Biliary-AdenoCA,SP99287, 0.827, 0.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
Biliary-AdenoCA,SP99293, 0.927, 0.000000, 38.000000, 0.000000, 54.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
Biliary-AdenoCA,SP99289, 0.984, 0.000000, 149.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
Biliary-AdenoCA,SP99297, 0.712, 0.000000, 0.000000, 0.000000, 2.000000, 0.000000, 4.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000
Biliary-AdenoCA,SP99301, 0.242, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 9.000000, 0.000000, 0.000000, 0.000000, 0.000000
Biliary-AdenoCA,SP99305, 0.796, 0.000000, 7.000000, 0.000000, 16.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
Biliary-AdenoCA,SP99309, 0.693, 0.000000, 7.000000, 0.000000, 7.000000, 0.000000, 0.000000, 0.000000, 0.000000, 21.000000, 0.000000, 0.000000
Biliary-AdenoCA,SP99313, 0.824, 0.000000, 14.000000, 0.000000, 39.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
Biliary-AdenoCA,SP99317, 0.603, 0.000000, 2.000000, 0.000000, 4.000000, 0.000000, 5.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
Biliary-AdenoCA,SP99321, 0.792, 0.000000, 6.000000, 0.000000, 11.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
Biliary-AdenoCA,SP99325, 0.634, 0.000000, 15.000000, 0.000000, 0.000000, 0.000000, 0.000000, 135.000000, 0.000000, 153.020000, 0.000000, 0.000000
Biliary-AdenoCA,SP99329, 0.792, 0.000000, 36.000000, 0.000000, 50.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
Biliary-AdenoCA,SP99333, 0.674, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 5.000000, 0.000000, 0.000000, 6.000000
Biliary-AdenoCA,SP99337, 0.753, 0.000000, 4.000000, 0.000000, 6.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 13.000000
Biliary-AdenoCA,SP99341, 0.696, 0.000000, 3.000000, 0.000000, 5.000000, 7.000000, 0.000000, 0.000000, 0.000000, 15.000000, 0.000000, 0.000000
Biliary-AdenoCA,SP99345, 0.825, 0.000000, 29.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
Biliary-AdenoCA,SP99113, 0.771, 0.000000, 3.000000, 0.000000, 0.000000, 4.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 6.000000
Biliary-AdenoCA,SP99185, 0.905, 0.000000, 53.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
Biliary-AdenoCA,SP99209, 0.988, 0.000000, 135.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
Biliary-AdenoCA,SP99213, 0.522, 0.000000, 3.000000, 0.000000, 16.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 21.000000
Biliary-AdenoCA,SP99221, 0.859, 0.000000, 4.000000, 0.000000, 4.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
Biliary-AdenoCA,SP99225, 0.860, 0.000000, 24.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
Biliary-AdenoCA,SP99241, 0.947, 0.000000, 149.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
Bladder-TCC,SP1086, 0.923, 0.000000, 28.000000, 0.000000, 18.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 27.000000
